unidade;ano;mes;especialidade;consultas_eletivas
CHPB;2024,0;6,0;Psicologia;4,0
CHPB;2024,0;6,0;Psiquiatria;67,0
CHPB;2024,0;7,0;Psicologia;77,0
CHPB;2024,0;7,0;Psiquiatria;500,0
CHPB;2024,0;8,0;Psicologia;64,0
CHPB;2024,0;8,0;Psiquiatria;625,0
CHPB;2024,0;9,0;Psicologia;45,0
CHPB;2024,0;9,0;Psiquiatria;475,0
CHPB;2024,0;10,0;Psicologia;59,0
CHPB;2024,0;10,0;Psiquiatria;677,0
CHPB;2024,0;11,0;Psicologia;55,0
CHPB;2024,0;11,0;Psiquiatria;490,0
CHPB;2024,0;12,0;Psicologia;61,0
CHPB;2024,0;12,0;Psiquiatria;468,0
CHPB;2025,0;1,0;Psicologia;28,0
CHPB;2025,0;1,0;Psiquiatria;442,0
CHPB;2025,0;2,0;Psicologia;53,0
CHPB;2025,0;2,0;Psiquiatria;533,0
CHPB;2025,0;3,0;Psicologia;28,0
CHPB;2025,0;3,0;Psiquiatria;606,0
CHPB;2025,0;4,0;Psicologia;29,0
CHPB;2025,0;4,0;Psiquiatria;655,0
CHPB;2025,0;5,0;Psicologia;49,0
CHPB;2025,0;5,0;Psiquiatria;579,0
CHPB;2025,0;6,0;Psicologia;28,0
CHPB;2025,0;6,0;Psiquiatria;592,0
CHPB;2025,0;7,0;Psicologia;23,0
CHPB;2025,0;7,0;Psiquiatria;586,0
CHPB;2025,0;8,0;Psicologia;31,0
CHPB;2025,0;8,0;Psiquiatria;586,0
CHPB;2025,0;9,0;Psicologia;24,0
CHPB;2025,0;9,0;Psiquiatria;600,0
CHPB;2025,0;10,0;Psicologia;8,0
CHPB;2025,0;10,0;Psiquiatria;675,0
CHPB;2025,0;11,0;Psicologia;22,0
CHPB;2025,0;11,0;Psiquiatria;504,0
CHPB;2025,0;12,0;Psicologia;15,0
CHPB;2025,0;12,0;Psiquiatria;430,0
CHPB;2026,0;1,0;Psicologia;14,0
CHPB;2026,0;1,0;Psiquiatria;420,0
CHPB;2026,0;2,0;Psicologia;12,0
CHPB;2026,0;2,0;Psiquiatria;553,0
CSSI;2023,0;9,0;Dermatologia;8,0
CSSI;2023,0;9,0;Fisioterapia;27,0
CSSI;2023,0;9,0;Hansenologia;20,0
CSSI;2023,0;9,0;Psicologia;22,0
CSSI;2023,0;9,0;Serviço Social;35,0
CSSI;2023,0;10,0;Cardiologia;53,0
CSSI;2023,0;10,0;Dermatologia;50,0
CSSI;2023,0;10,0;Fisioterapia;211,0
CSSI;2023,0;10,0;Hansenologia;91,0
CSSI;2023,0;10,0;Nutrição;1,0
CSSI;2023,0;10,0;Oftamologia;66,0
CSSI;2023,0;10,0;Psicologia;175,0
CSSI;2023,0;10,0;Serviço Social;211,0
CSSI;2023,0;11,0;Cardiologia;41,0
CSSI;2023,0;11,0;Dermatologia;58,0
CSSI;2023,0;11,0;Fisioterapia;222,0
CSSI;2023,0;11,0;Fonoaudiologia;59,0
CSSI;2023,0;11,0;Hansenologia;108,0
CSSI;2023,0;11,0;Nutrição;3,0
CSSI;2023,0;11,0;Oftamologia;54,0
CSSI;2023,0;11,0;Psicologia;104,0
CSSI;2023,0;11,0;Serviço Social;172,0
CSSI;2023,0;12,0;Cardiologia;23,0
CSSI;2023,0;12,0;Dermatologia;57,0
CSSI;2023,0;12,0;Fisioterapia;26,0
CSSI;2023,0;12,0;Fonoaudiologia;15,0
CSSI;2023,0;12,0;Hansenologia;14,0
CSSI;2023,0;12,0;Oftamologia;38,0
CSSI;2023,0;12,0;Psicologia;51,0
CSSI;2023,0;12,0;Serviço Social;71,0
CSSI;2024,0;1,0;Cardiologia;33,0
CSSI;2024,0;1,0;Dermatologia;22,0
CSSI;2024,0;1,0;Fisioterapia;4,0
CSSI;2024,0;1,0;Hansenologia;52,0
CSSI;2024,0;1,0;Psicologia;21,0
CSSI;2024,0;1,0;Serviço Social;18,0
CSSI;2024,0;2,0;Cardiologia;38,0
CSSI;2024,0;2,0;Dermatologia;18,0
CSSI;2024,0;2,0;Enfermagem;34,0
CSSI;2024,0;2,0;Fisioterapia;2,0
CSSI;2024,0;2,0;Hansenologia;74,0
CSSI;2024,0;2,0;Nutrição;2,0
CSSI;2024,0;2,0;Oftamologia;53,0
CSSI;2024,0;2,0;Psicologia;54,0
CSSI;2024,0;2,0;Serviço Social;20,0
CSSI;2024,0;3,0;Cardiologia;34,0
CSSI;2024,0;3,0;Dermatologia;28,0
CSSI;2024,0;3,0;Enfermagem;19,0
CSSI;2024,0;3,0;Fisioterapia;2,0
CSSI;2024,0;3,0;Hansenologia;104,0
CSSI;2024,0;3,0;Nutrição;1,0
CSSI;2024,0;3,0;Oftamologia;40,0
CSSI;2024,0;3,0;Psicologia;40,0
CSSI;2024,0;3,0;Serviço Social;19,0
CSSI;2024,0;4,0;Cardiologia;29,0
CSSI;2024,0;4,0;Fisioterapia;1,0
CSSI;2024,0;4,0;Hansenologia;91,0
CSSI;2024,0;4,0;Oftamologia;42,0
CSSI;2024,0;4,0;Psicologia;18,0
CSSI;2024,0;4,0;Serviço Social;80,0
CSSI;2024,0;5,0;Cardiologia;27,0
CSSI;2024,0;5,0;Clínica Médica;20,0
CSSI;2024,0;5,0;Fonoaudiologia;3,0
CSSI;2024,0;5,0;Hansenologia;96,0
CSSI;2024,0;5,0;Oftamologia;51,0
CSSI;2024,0;5,0;Psicologia;35,0
CSSI;2024,0;5,0;Serviço Social;24,0
CSSI;2024,0;6,0;Cardiologia;17,0
CSSI;2024,0;6,0;Clínica Médica;49,0
CSSI;2024,0;6,0;Fisioterapia;2,0
CSSI;2024,0;6,0;Fonoaudiologia;3,0
CSSI;2024,0;6,0;Hansenologia;91,0
CSSI;2024,0;6,0;Nutrição;1,0
CSSI;2024,0;6,0;Oftamologia;34,0
CSSI;2024,0;6,0;Psicologia;11,0
CSSI;2024,0;6,0;Serviço Social;36,0
CSSI;2024,0;7,0;Cardiologia;43,0
CSSI;2024,0;7,0;Clínica Médica;67,0
CSSI;2024,0;7,0;Fisioterapia;1,0
CSSI;2024,0;7,0;Fonoaudiologia;5,0
CSSI;2024,0;7,0;Hansenologia;108,0
CSSI;2024,0;7,0;Nutrição;3,0
CSSI;2024,0;7,0;Oftamologia;55,0
CSSI;2024,0;7,0;Psicologia;36,0
CSSI;2024,0;7,0;Serviço Social;22,0
CSSI;2024,0;8,0;Cardiologia;35,0
CSSI;2024,0;8,0;Clínica Médica;66,0
CSSI;2024,0;8,0;Fisioterapia;1,0
CSSI;2024,0;8,0;Fonoaudiologia;8,0
CSSI;2024,0;8,0;Hansenologia;49,0
CSSI;2024,0;8,0;Nutrição;3,0
CSSI;2024,0;8,0;Oftamologia;69,0
CSSI;2024,0;8,0;Psicologia;57,0
CSSI;2024,0;8,0;Serviço Social;29,0
CSSI;2024,0;9,0;Cardiologia;38,0
CSSI;2024,0;9,0;Clínica Médica;36,0
CSSI;2024,0;9,0;Fisioterapia;2,0
CSSI;2024,0;9,0;Fonoaudiologia;2,0
CSSI;2024,0;9,0;Hansenologia;63,0
CSSI;2024,0;9,0;Nutrição;1,0
CSSI;2024,0;9,0;Oftamologia;33,0
CSSI;2024,0;9,0;Psicologia;42,0
CSSI;2024,0;9,0;Serviço Social;53,0
CSSI;2024,0;10,0;Cardiologia;32,0
CSSI;2024,0;10,0;Clínica Médica;74,0
CSSI;2024,0;10,0;Fisioterapia;4,0
CSSI;2024,0;10,0;Fonoaudiologia;6,0
CSSI;2024,0;10,0;Hansenologia;95,0
CSSI;2024,0;10,0;Nutrição;4,0
CSSI;2024,0;10,0;Oftamologia;79,0
CSSI;2024,0;10,0;Psicologia;26,0
CSSI;2024,0;10,0;Serviço Social;43,0
CSSI;2024,0;11,0;Cardiologia;30,0
CSSI;2024,0;11,0;Clínica Médica;66,0
CSSI;2024,0;11,0;Enfermagem;14,0
CSSI;2024,0;11,0;Fisioterapia;5,0
CSSI;2024,0;11,0;Fonoaudiologia;7,0
CSSI;2024,0;11,0;Hansenologia;82,0
CSSI;2024,0;11,0;Nutrição;10,0
CSSI;2024,0;11,0;Oftamologia;22,0
CSSI;2024,0;11,0;Psicologia;13,0
CSSI;2024,0;11,0;Serviço Social;28,0
CSSI;2024,0;12,0;Cardiologia;42,0
CSSI;2024,0;12,0;Clínica Médica;51,0
CSSI;2024,0;12,0;Fisioterapia;9,0
CSSI;2024,0;12,0;Fonoaudiologia;1,0
CSSI;2024,0;12,0;Hansenologia;101,0
CSSI;2024,0;12,0;Nutrição;8,0
CSSI;2024,0;12,0;Oftamologia;38,0
CSSI;2024,0;12,0;Psicologia;9,0
CSSI;2024,0;12,0;Serviço Social;39,0
CSSI;2025,0;1,0;Cardiologia;39,0
CSSI;2025,0;1,0;Clínica Médica;74,0
CSSI;2025,0;1,0;Fonoaudiologia;2,0
CSSI;2025,0;1,0;Hansenologia;79,0
CSSI;2025,0;1,0;Nutrição;2,0
CSSI;2025,0;1,0;Psicologia;16,0
CSSI;2025,0;1,0;Serviço Social;43,0
CSSI;2025,0;2,0;Cardiologia;22,0
CSSI;2025,0;2,0;Clínica Médica;53,0
CSSI;2025,0;2,0;Fisioterapia;8,0
CSSI;2025,0;2,0;Hansenologia;119,0
CSSI;2025,0;2,0;Nutrição;11,0
CSSI;2025,0;2,0;Oftamologia;22,0
CSSI;2025,0;2,0;Psicologia;30,0
CSSI;2025,0;2,0;Serviço Social;36,0
CSSI;2025,0;3,0;Cardiologia;21,0
CSSI;2025,0;3,0;Fisioterapia;17,0
CSSI;2025,0;3,0;Hansenologia;96,0
CSSI;2025,0;3,0;Nutrição;10,0
CSSI;2025,0;3,0;Oftamologia;35,0
CSSI;2025,0;3,0;Psicologia;9,0
CSSI;2025,0;3,0;Serviço Social;48,0
CSSI;2025,0;4,0;Cardiologia;41,0
CSSI;2025,0;4,0;Enfermagem;3,0
CSSI;2025,0;4,0;Fisioterapia;14,0
CSSI;2025,0;4,0;Hansenologia;103,0
CSSI;2025,0;4,0;Nutrição;3,0
CSSI;2025,0;4,0;Oftamologia;41,0
CSSI;2025,0;4,0;Psicologia;5,0
CSSI;2025,0;4,0;Serviço Social;33,0
CSSI;2025,0;5,0;Cardiologia;44,0
CSSI;2025,0;5,0;Fisioterapia;11,0
CSSI;2025,0;5,0;Fonoaudiologia;1,0
CSSI;2025,0;5,0;Hansenologia;92,0
CSSI;2025,0;5,0;Nutrição;6,0
CSSI;2025,0;5,0;Oftamologia;46,0
CSSI;2025,0;5,0;Psicologia;6,0
CSSI;2025,0;5,0;Serviço Social;36,0
CSSI;2025,0;6,0;Cardiologia;39,0
CSSI;2025,0;6,0;Enfermagem;61,0
CSSI;2025,0;6,0;Fisioterapia;5,0
CSSI;2025,0;6,0;Hansenologia;128,0
CSSI;2025,0;6,0;Nutrição;7,0
CSSI;2025,0;6,0;Oftamologia;44,0
CSSI;2025,0;6,0;Psicologia;10,0
